generation,n_feasible,Cost_min,Cost_mean,Emissions_min,Emissions_mean
140,20,240996.861645829,344528.914521701,38191.06842241089,135898.6793232102
141,20,240996.861645829,342127.683784044,38191.06842241089,139676.5070085975
142,20,240996.861645829,343640.78057885705,38191.06842241089,136613.71724132812
143,20,240996.861645829,343640.780578857,38191.06842241089,136613.71724132815
144,20,240996.861645829,343725.0854711142,38191.06842241089,136474.78490063816
145,20,240996.861645829,342753.4949367127,38191.06842241089,138312.347554348
146,20,240996.861645829,343573.0694627585,38191.06842241089,134416.70199938316
147,20,240996.861645829,341872.61930414545,38191.06842241089,135560.49287334547
148,20,240996.861645829,337737.5958935639,38191.06842241089,144385.43863309553
149,20,240996.861645829,343333.48069966806,38191.06842241089,137235.79278896548
150,20,240996.861645829,339604.7763716945,38191.06842241089,143767.8948538887
151,20,240996.861645829,339577.16021020245,38191.06842241089,143801.86500433894
152,20,240996.861645829,340969.01060743403,38191.06842241089,139014.00163907206
153,20,240996.861645829,340837.39684962813,38191.06842241089,139074.00446088743
154,20,240996.861645829,343248.31164398475,38191.06842241089,134745.44406025152
155,20,240996.861645829,343248.204060021,38191.06842241089,134743.6729782534
156,20,240996.861645829,334972.03028211935,38191.06842241089,141421.13462454407
157,20,240996.861645829,333889.06802840193,38191.06842241089,142734.61076044868
158,20,240996.861645829,326540.4052788801,38191.06842241089,152937.6469517014
159,20,240996.861645829,332306.45828131307,38191.06842241089,146560.06218329893
160,20,240996.861645829,343592.5861981974,38191.06842241089,136321.68986191662
161,20,240996.861645829,343051.4222258541,38191.06842241089,136290.65861574453
162,20,240996.861645829,343077.80661816784,38191.06842241089,136285.4820012159
163,20,240996.861645829,343070.77655124984,38191.06842241089,136206.1663443194
164,20,240996.861645829,343070.7765512498,38191.06842241089,136206.1663443194
165,20,240996.861645829,343070.77655124984,38191.06842241089,136206.1663443194
166,20,240996.861645829,342749.00716532505,38191.06842241089,136725.35791312048
167,20,240996.861645829,343310.84263923706,38191.06842241089,136547.6978433461
168,20,240996.861645829,342226.20975298045,38191.06842241089,136648.6759032391
169,20,240996.861645829,342226.2097529805,38191.06842241089,136648.6759032391
170,20,240996.861645829,359639.22661271493,38191.06842241089,118807.56794069111
171,20,240996.861645829,349801.5348737031,38191.06842241089,127883.97739496085
172,20,240996.861645829,347094.10780268005,38191.06842241089,131987.88702345605
173,20,240996.861645829,341312.64766230865,38191.06842241089,138935.4948904072
174,20,240996.861645829,333777.1449013344,38191.06842241089,145437.35613213148
175,20,240996.861645829,338402.2092913949,38191.06842241089,143884.298041801
